49049,benmccann,23.5644372822589,4.186230815957679,10.215762768072452,8.792857915360806,31.314762865899024,107.76680187325313,84.93564914517141,107.76680187325313,60,157,0,0,0,0,2,0,0,0,4,0,0
165882,bastien03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2632242,aburmeis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4589144,jbax,6.494651072478987,6.11561870141713,6.384763347864532,5.73596540783213,6.439617214845863,6.494651072478987,6.461494040081751,6.494651072478987,127,242,0,9,0,3,193,0,0,0,0,0,0
75625,mangstadt,7.771510171262596,3.920739702586003,5.558749019355002,5.912584635703737,10.24101843831181,13.14482794563072,13.109341767281673,13.14482794563072,2215,5208,0,4,0,13,291,0,0,10,50,0,0
4307816,ojw28,64.84612302122261,5.596483505270677,16.194115270100202,8.590628056076413,26.032786700311032,147.4424812777014,150.99178118984167,198.90902584687055,277,280,0,3,0,2,10,0,0,2,0,0,0
10844712,erdemguven,68.7007241379467,5.743906717693087,16.939604332642453,9.76162180149099,24.06752798928906,143.6140324025587,146.130010122483,198.90902584687063,26,47,0,0,0,0,0,0,0,0,0,0,0
64600,sbrannen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114374,snicoll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199939,stevegury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1891264,akarnokd,65.46811979564235,3.740328624290964,9.45143394829897,12.97040636308914,58.59378695541989,168.7948590760156,168.7948590760156,168.7948590760156,643,1208,0,0,0,0,87,0,0,0,0,0,0
896,JakeWharton,26.64513278067697,21.6405018685293,25.93966484288668,17.615100450420748,18.429043605472465,26.616123705334225,20.040597398484408,27.150171643194778,544,216,0,0,0,0,4,0,0,0,0,0,0
4998106,hzsweers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7924529,jasontedor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436017,rjernst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0